,Chatting,link_count,word_count,sentence_length,has_numeric,has_emoticon,language_detection,language_py3_detection,py3_confidence,stopword_count,repeated_chars_count,sentiment_score,pos_tag_counts,flesch_reading_ease,gunning_fog_index
0,Paper kiddan da hua,0,4,19,False,False,id,eu,-50.790157,0,1,0,"{'NNP': 1, 'VBZ': 1, 'NN': 2}",75.88,1.6
1,Alhmdullilah,0,1,12,False,False,tr,et,-17.154526,0,1,0,{'NN': 1},-47.99,40.4
2,Acha,0,1,4,False,False,en,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
3,Chalo ma shaa Allah,0,4,19,False,False,so,fi,-30.708176,1,2,0,"{'NNP': 2, 'NN': 2}",75.88,1.6
4,Paper kiddan hua,0,3,16,False,False,id,en,-44.714024,0,1,0,"{'NNP': 1, 'VBZ': 1, 'NN': 1}",59.97,1.2
5,Acha,0,1,4,False,False,en,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
6,Chalo ma shaa Allah,0,4,19,False,False,so,fi,-30.708176,1,2,0,"{'NNP': 2, 'NN': 2}",75.88,1.6
7,Kinnei reh gai?,0,3,15,False,False,cy,de,-16.268574,0,1,0,"{'NNP': 1, 'NN': 2, '.': 1}",93.81,1.2
8,1,0,1,1,True,False,Unknown,en,9.06184,0,0,0,{'CD': 1},121.22,0.4
9,Matlab kal last,0,3,15,False,False,et,en,-8.001188,0,0,0,"{'NNP': 1, 'VBD': 1, 'JJ': 1}",93.81,1.2
10,Nii Monday nu,0,3,13,False,False,tl,ro,-7.6031923,0,1,0,"{'NNP': 2, 'NN': 1}",93.81,1.2
11,2 chuttian mazei wesei tu te kehendi huni ho jaaanda kal,0,11,56,True,False,sw,ms,-145.33342,0,3,0,"{'CD': 1, 'JJ': 1, 'NN': 9}",68.77,8.04
12,"G
Ghr Jana phr",0,4,14,False,False,de,es,0.28125763,0,0,0,"{'NNP': 3, 'NN': 1}",118.18,1.6
13,Matlab Monday nu,0,3,16,False,False,tl,et,0.35557985,0,0,0,"{'NNP': 2, 'NN': 1}",59.97,1.2
14,G,0,1,1,False,False,de,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
15,Oka,0,1,3,False,False,sw,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
16,Paper kiddan d hua,0,4,18,False,False,id,da,-44.00953,1,1,0,"{'NNP': 2, 'NN': 2}",75.88,1.6
17,Alhmdullilah acha,0,2,17,False,False,cy,id,-29.760527,0,1,0,"{'NNP': 1, 'NN': 1}",35.61,20.8
18,Chalo ma shaa Allah,0,4,19,False,False,so,fi,-30.708176,1,2,0,"{'NNP': 2, 'NN': 2}",75.88,1.6
19,Mubarak howei,0,2,13,False,False,so,en,9.06184,0,0,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
20,Mid Paper end,0,3,13,False,False,nl,no,-13.666376,0,0,0,"{'NNP': 2, 'NN': 1}",93.81,1.2
21,G,0,1,1,False,False,de,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
22,hun kaaar jaaa rhi,0,4,18,False,False,so,fi,-26.57801,0,4,0,{'NN': 4},118.18,1.6
23,"Nhi 
Classes",0,2,12,False,False,et,vi,-7.7772684,0,1,0,"{'NN': 1, 'NNS': 1}",77.91,0.8
24,Acha kal anti das rhei si aaaa jaaana,0,8,37,False,False,so,sw,-121.34644,0,5,-0.3182,"{'NNP': 1, 'VBZ': 1, 'JJ': 2, 'NNS': 1, 'VBP': 1, 'NN': 2}",105.66,3.2
25,Yaaani zikr hoya te gal kr rei si,0,8,33,False,False,so,sw,-93.06764,0,2,0,"{'NNP': 2, 'NN': 5, 'JJ': 1}",114.12,3.2
26,Nii..HOD ne off nhi kita c,0,6,26,False,False,vi,en,-22.314621,1,3,0,"{'NNP': 3, 'VBD': 1, 'RP': 1, 'JJ': 1, 'NNS': 1, 'VBP': 1}",90.77,2.4
27,Onei amb lenei si paper le ke,0,7,29,False,False,et,it,-65.12273,0,0,0,"{'NNP': 1, 'NN': 5, 'JJ': 1}",106.67,2.8
28,"Pta nii
Khndi me personally attendance short kr deni",0,9,52,False,False,it,en,-123.98917,1,3,0,"{'NNP': 2, 'NN': 3, 'PRP': 1, 'RB': 1, 'VB': 1, 'JJ': 1}",53.88,12.49
29,Chalo mazei fr,0,3,14,False,False,it,de,-21.267433,0,0,0,"{'NNP': 1, 'NN': 2}",93.81,1.2
30,Ni,0,1,2,False,False,vi,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
31,Kyun kia hua,0,3,12,False,False,sw,eu,-6.892278,0,0,-0.6369,"{'NNP': 1, 'VBD': 1, 'NN': 1}",119.19,1.2
32,Kuch nhi,0,2,8,False,False,vi,de,-4.606304,0,0,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
33,Matlab fr ni kyun,0,4,17,False,False,tr,et,0.35557985,0,0,0,"{'NNP': 1, 'NN': 3}",92.8,1.6
34,Yani mze nii,0,3,12,False,False,sw,en,-0.9997139,0,1,0,"{'NNP': 1, 'NN': 2}",119.19,1.2
35,Hmmm menu idea how ria kinna mushkil kisei ho kaaar rehna te tu te fr hostel aaaan,0,17,82,False,False,et,af,-160.36655,1,8,0,"{'NNP': 1, 'NN': 13, 'WRB': 1, 'JJ': 2}",79.6,6.8
36,Tu Kise hor kr Rh ria?,0,6,22,False,False,sq,en,-8.41946,0,0,0,"{'NNP': 3, 'NN': 3, '.': 1}",116.15,2.4
37,From more than 1 month,0,5,22,True,False,en,en,-24.811893,3,0,0,"{'IN': 2, 'JJR': 1, 'CD': 1, 'NN': 1}",117.16,2
38,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
39,Hmmm,0,1,4,False,False,da,en,9.06184,0,2,0,{'NN': 1},36.62,0.4
40,Taya g,0,2,6,False,False,sw,id,-5.513525,0,0,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
41,Menu roz 3 tu 4 km chalan di aaaadat aaa,0,10,40,True,False,id,ms,-126.23957,0,5,0,"{'NNP': 1, 'VBZ': 2, 'CD': 2, 'NN': 4, 'JJ': 1}",95.17,4
42,Lekin ithei ghar bound ho ke reh gia,0,8,36,False,False,en,en,-71.96489,0,0,0,"{'NNP': 1, 'NN': 6, 'IN': 1}",114.12,3.2
43,Ki mtlb,0,2,7,False,False,sw,en,9.06184,0,0,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
