,Chatting
0,Paper kiddan da hua
1,Alhmdullilah
2,Acha
3,Chalo ma shaa Allah
4,Paper kiddan hua
5,Acha
6,Chalo ma shaa Allah
7,Kinnei reh gai?
8,1
9,Matlab kal last
10,Nii Monday nu
11,2 chuttian mazei wesei tu te kehendi huni ho jaaanda kal
12,"G
Ghr Jana phr"
13,Matlab Monday nu
14,G
15,Oka
16,Paper kiddan d hua
17,Alhmdullilah acha
18,Chalo ma shaa Allah
19,Mubarak howei
20,Mid Paper end
21,G
22,hun kaaar jaaa rhi
23,"Nhi 
Classes"
24,Acha kal anti das rhei si aaaa jaaana
25,Yaaani zikr hoya te gal kr rei si
26,Nii..HOD ne off nhi kita c
27,Onei amb lenei si paper le ke
28,"Pta nii
Khndi me personally attendance short kr deni"
29,Chalo mazei fr
30,Ni
31,Kyun kia hua
32,Kuch nhi
33,Matlab fr ni kyun
34,Yani mze nii
35,Hmmm menu idea how ria kinna mushkil kisei ho kaaar rehna te tu te fr hostel aaaan
36,Tu Kise hor kr Rh ria?
37,From more than 1 month
38,
39,Hmmm
40,Taya g
41,Menu roz 3 tu 4 km chalan di aaaadat aaa
42,Lekin ithei ghar bound ho ke reh gia
43,Ki mtlb
44,Yaaani bhai farukh kil aaaaya hua
45,Sae sae
46,Aanti log??
47,O ghar
48,"Saeee
Sundas no rkh Lena c"
49,O wi ghar
50,Rkh Lena c ithe
51,Nai menu akelei kuch hunda ni kadei lekin pata nai
52,O kudh nai rehendi ke tu nai
53,
54,Meno v kaafi arsa ho gia mile hoye oono
55,Ba g hania aaaai si judun buhat zor laaaya ke aaa ja naaal nai aaai ami me baaad wich kia ke chal jaaandi kehndei ba g Hamna nai gi
56,Fr jidun aaaai mere naaal ami te sundas you wi nai rai anti ne buhat zor laaaya ke tu nai
57,
58,Haaaye sdkeeee java
59,
60,Bs hun O ghar tu hiatel mein ithei
61,Chl zindagi rhi te mila ge
62,Hmmm in shaa Allah sundas nu kia
63,Kii
64,Yaaaani sundas nu kia ke mila ge
65,G Inshaa Allah
66,In shaa Allah
67,G
68,Aik sheir pejdan
69,Download ho ria
70,Aaaye
71,Mazei da wa
72,Bht
73,Hor tu suna
74,Aaj mera gussei da mood nai
75,Kush ni sunan no
76,Lg v ria
77,Almost kinni deir social media band rakhia huna mein
78,"Maloom nii
Lkn me interrupt nii krna chah rhi"
79,Matlab
80,Oodn aalia glla tu bd meno lgia c
81,Ki
82,"Kush nhi 
Hor ki ho ria"
83,Nai das mood theekh aa
84,Ki ho ria?)
85,Bs samjh lei yaaad aaai tw mood theeekh si kr lia msg
86,"Sae ho gia
Hor ctn da mosm kida"
87,Garmi
88,Ithe v bht aa
89,Wesei mein ona si fss
90,Fsd
91,Fr mein kya iddan hi koi issue na ban jaawei
92,Te aa jaanda
93,Issue q kes cheez da
94,Nai
95,Q
96,Yaaani aaaya te tere kol aaaya te mein aeis lai ondan aaaya te dill krna milan da te iddan hi koi issue howei aeis lai nai onda
97,"Me bahir nhi jandi...Hostel ch miln di ijazat nhi 
So"
98,Nai issue nai mein college aaa jawan ga
99,Dill hua te
100,Ki???
101,Lekin ona nai
102,Chl dekh le jidda sae lgge
103,Nai sai ko matlab
104,Aa ki likhia aa bol k D's de
105,Pej
106,Me teno kh rhi aa
107,Haan haan pej dei
108,Computer related aa kuch?
109,
110,Me kh rhi aaaaaaaa ki likhiaaaaa aaaaaa
111,Nai sai ki matlab
112,Bol k ds de meno idea hi nhi smjh aa ria
113,Hand free hei
114,Mere kol??
115,Han g roommate laagei te nai
116,Hn lkn handfree Hy
117,Oka oka
118,Gg
119,Hor
120,Kal lecture hei?
121,"Of course
Wrna ghr na hondi"
122,Acha Mubarak howei ma shaa Allah 4/4
123,Alhmdullilah
124,"Allah Tala da lkh lkh shukr 
I wasn't expecting lkn bs bht Khushi hoi v"
125,
126,"Class ch c me nhi gpa check kiti c meno krni nii oondi c 
Mam ne dsia k 8 toppers aa fer jido Mera Naam Lia te Bs"
127,Hun aaa gai ya nai?
128,Kiiii
129,Aaaa gaeee
130,Good hogia
131,Mwin edei uttei project kitta kawei te code bna da bs input dain kudh calculate kr dai gi
132,"Waaaaah 
Allah Tala Kambyab krn"
133,Ameen
134,Aaa buhat basic cheez aaa
135,Fer v mere wrge insan lae bht wddi cheez aa
136,Hmm keh sakdei
137,Yesss
138,Idrun free ho ke bna ke pejan ga app in shaa Allah
139,Mere kol bania pia
140,Pr tenu setting krni nai oni aeis lai app wich deploye kr ke pejan ga
141,Wese kheriat nal aaya c???
142,Pta nii oo ki honda
143,Han g ami sundas ba g mariam da beta eisa dekhan mein bhai farukh kol
144,Fr chala gya
145,Sae sae
146,3 din baaad aaaya fr dubaara bhai ne bula lia
147,"Sundas no v lae oonda
Shaed kl chutia ho Jaan"
